Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report
MD03449,Defibrillator,2018-04-23,7,CardioSync,Model-100,France,7115.349585060145,7.933823997841837,3,0,1,Component component upgrade after detecting overheating; functionality restored. log cleaned low priority fault
MD02024,Infusion Pump,2020-12-10,5,MedEquip,Model-650,Italy,7290.780658488662,7.838711421841907,3,4,2,battery wear caused operational delay; replacement initiated. driver update device required inspection
MD04239,MRI Scanner,2023-11-22,2,ImagingTech,Model-650,France,5635.5217876070055,13.911045265110374,1,2,3,data lag caused operational delay; component upgrade initiated. data loss emergency shutdown
MD00153,Defibrillator,2021-03-03,4,RescueTech,Model-450,UK,5001.360187973189,29.059510229641845,3,1,3,Routine check completed; battery wear observed during diagnostics. sensor replaced emergency shutdown
MD03743,Defibrillator,2019-05-16,6,RescueTech,Model-450,Canada,7555.132927951688,13.942354812115582,4,4,2,Component inspection after detecting voltage spike; functionality restored. driver update moderate delay
MD01925,X-Ray Machine,2019-06-19,6,CardioSync,Model-250,UK,11190.79923653013,3.337001709218628,4,3,2,software crash caused operational delay; software patch initiated. reviewed logs performance warning
MD05194,Defibrillator,2013-09-20,12,RescueTech,Model-600,Japan,4511.50749292888,15.169395161391895,1,2,2,Component recalibration after detecting overheating; functionality restored. component issue device required inspection
MD05160,Infusion Pump,2023-02-02,2,ImagingTech,Model-450,Japan,13615.69324576296,15.399164305116097,1,2,3,Component replacement after detecting voltage spike; functionality restored. data loss system crash
MD02451,MRI Scanner,2023-09-22,2,MedEquip,Model-550,Canada,6311.195836396027,1.225702567286063,2,0,1,Routine check completed; battery wear observed during diagnostics. log cleaned log file cleared
MD01761,Defibrillator,2023-10-14,2,ImagingTech,Model-150,Canada,16619.23669164574,25.65134426012196,3,0,3,Component firmware update after detecting voltage spike; functionality restored. critical failure urgent inspection needed
MD04960,MRI Scanner,2014-05-29,11,MedEquip,Model-200,France,-254.71432016722508,10.432459031625594,5,1,3,Component recalibration after detecting software crash; functionality restored. sensor replaced critical failure
MD05200,PET Scanner,2014-01-25,11,RescueTech,Model-650,France,21773.543901087887,7.055234692321768,3,1,3,Component software patch after detecting data lag; functionality restored. critical failure critical failure
MD01507,X-Ray Machine,2014-09-21,11,UltraMed,Model-500,France,8529.633208851754,13.598086637079083,4,3,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash
MD00528,MRI Scanner,2015-06-06,10,CardioSync,Model-350,UK,11482.620784354973,5.863019297565919,2,2,3,Routine check completed; software crash observed during diagnostics. sensor replaced system crash
MD00791,Defibrillator,2020-10-23,5,UltraMed,Model-250,Japan,1601.4154808145213,9.502930571378224,2,2,1,Routine check completed; battery wear observed during diagnostics. quick fix stable condition
MD01215,Defibrillator,2018-09-14,7,ScanPro,Model-150,France,3227.752741036572,1.985457913689108,3,2,1,voltage spike caused operational delay; inspection initiated. quick fix low priority fault
MD04973,Infusion Pump,2017-02-04,8,UltraMed,Model-550,Canada,4312.01152140355,1.3489122884749107,2,6,1,circuit failure caused operational delay; firmware update initiated. log cleaned temporary glitch
MD03055,X-Ray Machine,2018-08-29,7,MedEquip,Model-450,Japan,14086.92342673666,8.03240349334829,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. critical failure urgent inspection needed
